Artist:,Lady Vengeance,,,,,,,
Country:,,,,,,,,
,,,,,,,,
Album/artist/search
Date,Value,Percentage,PeriodOverPeriod
01/01/24,,,
01/02/24,,,
01/03/24,,,
01/04/24,,,
01/05/24,,,
01/06/24,,,
01/07/24,,,
01/08/24,,,
01/09/24,,,
01/10/24,,,
01/11/24,,,
01/12/24,,,
01/01/25,,,
01/02/25,428,0.1880492091388401,2147483647
01/03/25,476,0.2305084745762712,0.112149532710280373832
01/04/25,330,0.1864406779661017,-0.306722689075630252101
01/05/25,1726,0.5014526438117374,4.23030303030303030303
01/06/25,641,0.0441886116089894,-0.628621089223638470452
01/07/25,197,0.0155497671481569,-0.692667706708268330733
01/08/25,221,0.0165011573209886,0.121827411167512690355
01/09/25,170,0.0598380851812742,-0.230769230769230769231
01/10/25,330,0.3433922996878252,0.941176470588235294118
01/11/25,169,0.3194706994328922,-0.487878787878787878788
01/12/25,31,0.3100000000000000,
Charts
Date,Value,Percentage,PeriodOverPeriod
01/01/24,,,
01/02/24,,,
01/03/24,,,
01/04/24,,,
01/05/24,,,
01/06/24,,,
01/07/24,,,
01/08/24,,,
01/09/24,,,
01/10/24,,,
01/11/24,,,
01/12/24,,,
01/01/25,,,
01/02/25,,,
01/03/25,,,
01/04/25,,,
01/05/25,,,
01/06/25,,,
01/07/25,,,
01/08/25,,,
01/09/25,,,
01/10/25,,,
01/11/25,,,
01/12/25,,,
Flow
Date,Value,Percentage,PeriodOverPeriod
01/01/24,,,
01/02/24,,,
01/03/24,,,
01/04/24,,,
01/05/24,,,
01/06/24,,,
01/07/24,,,
01/08/24,,,
01/09/24,,,
01/10/24,,,
01/11/24,,,
01/12/24,,,
01/01/25,,,
01/02/25,,,
01/03/25,,,
01/04/25,,,
01/05/25,,,
01/06/25,,,
01/07/25,,,
01/08/25,,,
01/09/25,,,
01/10/25,,,
01/11/25,,,
01/12/25,,,
Library
Date,Value,Percentage,PeriodOverPeriod
01/01/24,,,
01/02/24,,,
01/03/24,,,
01/04/24,,,
01/05/24,,,
01/06/24,,,
01/07/24,,,
01/08/24,,,
01/09/24,,,
01/10/24,,,
01/11/24,,,
01/12/24,,,
01/01/25,,,
01/02/25,119,0.0522847100175747,2147483647
01/03/25,306,0.1481840193704601,1.571428571428571428571
01/04/25,299,0.1689265536723164,-0.022875816993464052288
01/05/25,386,0.1121441022661243,0.290969899665551839465
01/06/25,531,0.0366055425341238,0.37564766839378238342
01/07/25,492,0.0388349514563107,-0.073446327683615819209
01/08/25,470,0.0350929590084372,-0.044715447154471544715
01/09/25,336,0.1182682154171067,-0.285106382978723404255
01/10/25,350,0.3642039542143600,0.041666666666666666667
01/11/25,203,0.3837429111531191,-0.4200
01/12/25,37,0.3700000000000000,
Not available
Date,Value,Percentage,PeriodOverPeriod
01/01/24,,,
01/02/24,,,
01/03/24,,,
01/04/24,,,
01/05/24,,,
01/06/24,,,
01/07/24,,,
01/08/24,,,
01/09/24,,,
01/10/24,,,
01/11/24,,,
01/12/24,,,
01/01/25,,,
01/02/25,1,0.0004393673110721,2147483647
01/03/25,7,0.0033898305084746,6.0000
01/04/25,8,0.0045197740112994,0.142857142857142857143
01/05/25,6,0.0017431725740848,-0.2500
01/06/25,23,0.0015855508065628,2.833333333333333333333
01/07/25,18,0.0014207909069382,-0.217391304347826086957
01/08/25,17,0.0012693197939222,-0.055555555555555555556
01/09/25,10,0.0035198873636044,-0.411764705882352941176
01/10/25,7,0.0072840790842872,-0.3000
01/11/25,6,0.0113421550094518,-0.142857142857142857143
01/12/25,,,
Other
Date,Value,Percentage,PeriodOverPeriod
01/01/24,,,
01/02/24,,,
01/03/24,,,
01/04/24,,,
01/05/24,,,
01/06/24,,,
01/07/24,,,
01/08/24,,,
01/09/24,,,
01/10/24,,,
01/11/24,,,
01/12/24,,,
01/01/25,,,
01/02/25,101,0.0443760984182777,2147483647
01/03/25,32,0.0154963680387409,-0.683168316831683168317
01/04/25,23,0.0129943502824859,-0.28125
01/05/25,77,0.0223707147007554,2.34782608695652173913
01/06/25,100,0.0068936991589687,0.298701298701298701299
01/07/25,51,0.0040255742363249,-0.4900
