Performance Breakdown by access types,,,,,,
,,,,,,
Artist,Country,Customer,Freemium,Not available,Premium,Release To Date
Lady Vengeance,,Apple Music,1547,246,41737,43530
Lady Vengeance,,Spotify,2189,0,8576,10765
Lady Vengeance,,YouTube UGC,3103,0,747,3850
Lady Vengeance,,Amazon Unlimited,2,0,163,165
Lady Vengeance,,SoundCloud,9,0,27,36
Lady Vengeance,,Deezer,0,0,7,7
Lady Vengeance,,AWA,0,0,1,1
Lady Vengeance,,Amazon Ad Supported,2,0,0,2
Lady Vengeance,,UMA,0,0,0,0
Lady Vengeance,,QQ,0,0,0,0
Lady Vengeance,,RecoChoku,0,0,0,0
Lady Vengeance,,Loen,0,0,0,0
Lady Vengeance,,BOOM,0,0,0,0
Lady Vengeance,,Google Play,0,0,0,0
Lady Vengeance,,KuGou,0,4,0,4
Lady Vengeance,,Peloton,0,0,0,0
Lady Vengeance,,Amazon Prime,0,27,0,27
Lady Vengeance,,Melon,0,0,0,0
Lady Vengeance,,Bugs Music,0,2,0,2
Lady Vengeance,,YouSee,0,0,0,0
Lady Vengeance,,SberZvuk,0,0,0,0
Lady Vengeance,,Gaana,0,0,0,0
Lady Vengeance,,Pandora,4,0,0,4
Lady Vengeance,,Mnet,0,0,0,0
Lady Vengeance,,Boomplay,0,0,0,0
Lady Vengeance,,Telmore Musik,0,0,0,0
Lady Vengeance,,Napster,0,7,0,7
Lady Vengeance,,BeatPort,0,0,0,0
Lady Vengeance,,Audiomack,0,0,0,0
Lady Vengeance,,Line Music,0,0,0,0
Lady Vengeance,,NetEase,0,0,0,0
Lady Vengeance,,Yandex,0,0,0,0
Lady Vengeance,,KT,0,2,0,2
Lady Vengeance,,YouTube Official Music Videos,0,0,0,0
Lady Vengeance,,KuWo,0,0,0,0
Lady Vengeance,,KKBox,0,0,0,0
Lady Vengeance,,Flo,0,0,0,0
Lady Vengeance,,Anghami,0,0,0,0
