Artist:,Lady Vengeance,,
Country:,,,
,,,
Total
Date,Value
01/01/24,
01/02/24,
01/03/24,
01/04/24,
01/05/24,
01/06/24,
01/07/24,
01/08/24,
01/09/24,
01/10/24,
01/11/24,
01/12/24,
01/01/25,
01/02/25,2276
01/03/25,2065
01/04/25,1770
01/05/25,3442
01/06/25,14506
01/07/25,12669
01/08/25,13393
01/09/25,2841
01/10/25,961
01/11/25,529
01/12/25,100
Freemium
Date,Value,PeriodOverPeriod
01/01/24,,
01/02/24,,
01/03/24,,
01/04/24,,
01/05/24,,
01/06/24,,
01/07/24,,
01/08/24,,
01/09/24,,
01/10/24,,
01/11/24,,
01/12/24,,
01/01/25,,
01/02/25,515,2147483647
01/03/25,465,-0.097087378640776699029
01/04/25,302,-0.350537634408602150538
01/05/25,314,0.039735099337748344371
01/06/25,703,1.238853503184713375796
01/07/25,546,-0.223328591749644381223
01/08/25,565,0.034798534798534798535
01/09/25,196,-0.653097345132743362832
01/10/25,79,-0.596938775510204081633
01/11/25,59,-0.253164556962025316456
01/12/25,9,
Not available
Date,Value,PeriodOverPeriod
01/01/24,,
01/02/24,,
01/03/24,,
01/04/24,,
01/05/24,,
01/06/24,,
01/07/24,,
01/08/24,,
01/09/24,,
01/10/24,,
01/11/24,,
01/12/24,,
01/01/25,,
01/02/25,9,2147483647
01/03/25,11,0.222222222222222222222
01/04/25,7,-0.363636363636363636364
01/05/25,19,1.714285714285714285714
01/06/25,83,3.368421052631578947368
01/07/25,73,-0.120481927710843373494
01/08/25,75,0.02739726027397260274
01/09/25,6,-0.9200
01/10/25,3,-0.5000
01/11/25,2,-0.333333333333333333333
01/12/25,,
Premium
Date,Value,PeriodOverPeriod
01/01/24,,
01/02/24,,
01/03/24,,
01/04/24,,
01/05/24,,
01/06/24,,
01/07/24,,
01/08/24,,
01/09/24,,
01/10/24,,
01/11/24,,
01/12/24,,
01/01/25,,
01/02/25,1752,2147483647
01/03/25,1589,-0.093036529680365296804
01/04/25,1461,-0.080553807426054122089
01/05/25,3109,1.127994524298425735797
01/06/25,13720,3.412994532003859761981
01/07/25,12050,-0.121720116618075801749
01/08/25,12753,0.05834024896265560166
01/09/25,2639,-0.793068297655453618756
01/10/25,879,-0.666919287608942781357
01/11/25,468,-0.467576791808873720137
01/12/25,91,
