"Date","Video Views","Profile Views","Likes","Comments","Shares"
"December 2","4","0","0","0","0"
"December 3","3","0","0","0","0"
"December 4","0","0","0","0","0"
"December 5","1","0","0","0","0"
"December 6","1","0","0","0","0"
"December 7","2","0","0","0","0"
"December 8","2","0","0","0","0"
"December 9","4","0","0","0","0"
"December 10","0","0","0","0","0"
"December 11","1","0","0","0","0"
"December 12","1","0","0","0","0"
"December 13","4","0","0","0","0"
"December 14","1","0","0","0","0"
"December 15","9","1","0","0","0"
"December 16","9","0","1","0","0"
"December 17","0","1","0","0","0"
"December 18","3","0","0","0","0"
"December 19","1","0","0","0","0"
"December 20","0","0","0","0","0"
"December 21","3","1","1","0","0"
"December 22","0","0","0","0","0"
"December 23","3","1","0","0","0"
"December 24","1","0","0","0","0"
"December 25","1","0","0","0","0"
"December 26","0","0","0","0","0"
"December 27","3","0","0","0","0"
"December 28","1","0","0","0","0"
"December 29","4","0","0","0","0"
"December 30","2","0","0","0","0"
"December 31","2","0","0","0","0"
"January 1","1","0","0","0","0"
"January 2","0","0","0","0","0"
"January 3","0","0","0","0","0"
"January 4","2","0","0","0","0"
"January 5","1","0","0","0","0"
"January 6","2","1","0","0","0"
"January 7","1","0","0","0","0"
"January 8","0","1","0","0","0"
"January 9","0","0","0","0","0"
"January 10","10","4","0","0","0"
"January 11","5","1","0","0","0"
"January 12","0","0","0","0","0"
"January 13","3","0","0","0","0"
"January 14","3","0","0","0","0"
"January 15","1","0","0","0","0"
"January 16","6","0","0","0","0"
"January 17","1","1","0","0","0"
"January 18","1","0","0","0","0"
"January 19","0","0","0","0","0"
"January 20","4","1","0","0","0"
"January 21","1","0","0","0","0"
"January 22","2","0","0","0","0"
"January 23","1","0","0","0","0"
"January 24","1","0","0","0","0"
"January 25","2","0","0","0","0"
"January 26","1","0","0","0","0"
"January 27","2","0","0","0","0"
"January 28","2","1","0","0","0"
"January 29","1","2","0","0","0"
"January 30","0","0","0","0","0"
"January 31","40","5","3","1","1"
"February 1","1","1","0","0","0"
"February 2","3","2","1","0","0"
"February 3","1","1","0","0","0"
"February 4","1","0","0","0","0"
"February 5","1","0","1","0","0"
"February 6","935","17","78","2","3"
"February 7","162","13","15","1","0"
"February 8","17","3","0","0","0"
"February 9","33","6","1","0","0"
"February 10","108","5","7","5","0"
"February 11","79","2","4","0","0"
"February 12","430","6","29","1","0"
"February 13","319","14","41","2","0"
"February 14","970","25","82","6","0"
"February 15","206","6","18","2","1"
"February 16","1142","14","124","9","0"
"February 17","44","1","1","0","0"
"February 18","1168","27","87","3","1"
"February 19","218","12","9","1","1"
"February 20","164","4","7","2","0"
"February 21","73","3","1","2","1"
"February 22","868","10","84","3","0"
"February 23","99","1","15","1","0"
"February 24","32","4","0","0","0"
"February 25","19","2","0","0","0"
"February 26","1577","14","127","5","2"
"February 27","183","6","9","4","1"
"February 28","60","7","1","0","0"
"March 1","35","1","1","0","0"
"March 2","254","6","24","3","0"
"March 3","759","11","47","0","0"
"March 4","347","6","29","0","0"
"March 5","610","10","53","2","0"
"March 6","46","2","5","1","0"
"March 7","29","4","1","0","0"
"March 8","11","1","0","0","0"
"March 9","76","2","9","0","0"
"March 10","491","11","30","2","0"
"March 11","423","3","28","1","0"
"March 12","11","1","1","0","0"
"March 13","16","2","0","0","0"
"March 14","19","2","2","0","0"
"March 15","16","0","0","0","0"
"March 16","12","0","0","0","0"
"March 17","2162","14","126","3","0"
"March 18","1191","16","109","3","1"
"March 19","18","2","0","1","0"
"March 20","57","5","2","0","0"
"March 21","1120","13","40","8","0"
"March 22","72","4","5","2","0"
"March 23","171","3","12","0","0"
"March 24","48","1","7","0","0"
"March 25","53","1","2","0","0"
"March 26","24","0","0","0","0"
"March 27","18","2","1","0","0"
"March 28","24","3","0","0","0"
"March 29","12","1","0","0","0"
"March 30","24","0","0","0","0"
"March 31","8","0","0","0","0"
"April 1","9","0","0","0","0"
"April 2","8","0","0","0","0"
"April 3","21","3","0","0","0"
"April 4","225","6","23","2","1"
"April 5","790","13","83","4","3"
"April 6","612","21","33","3","1"
"April 7","218","4","13","0","0"
"April 8","221","8","9","5","0"
"April 9","295","1","14","0","0"
"April 10","52","3","1","1","0"
"April 11","934","16","73","6","7"
"April 12","130","9","15","7","2"
"April 13","995","13","56","4","0"
"April 14","98","2","7","1","0"
"April 15","267","10","18","3","1"
"April 16","899","3","86","3","1"
"April 17","44","1","4","1","1"
"April 18","31","1","1","0","0"
"April 19","21","3","2","0","0"
"April 20","42","2","1","0","0"
"April 21","62","3","2","0","0"
"April 22","2488","14","204","5","3"
"April 23","214","4","6","0","0"
"April 24","232","42","11","1","0"
"April 25","234","239","10","0","0"
"April 26","998","103","60","0","19"
"April 27","141","51","11","0","0"
"April 28","60","17","0","0","0"
"April 29","1071","30","101","2","11"
"April 30","970","24","94","3","0"
"May 1","72","14","5","2","0"
"May 2","549","23","32","2","0"
"May 3","522","12","35","1","1"
"May 4","47","4","0","0","0"
"May 5","24","2","2","0","0"
"May 6","13","4","0","0","0"
"May 7","1029","16","133","1","2"
"May 8","113","11","6","2","0"
"May 9","987","7","77","0","0"
"May 10","309","11","12","2","0"
"May 11","68","5","4","0","0"
"May 12","696","16","75","5","3"
"May 13","457","8","39","2","1"
"May 14","136","7","13","0","1"
"May 15","83","5","3","0","0"
"May 16","17","1","0","0","0"
"May 17","40","7","3","1","0"
"May 18","40","3","0","0","0"
"May 19","14","0","0","0","0"
"May 20","1139","18","247","5","1"
"May 21","56","12","0","0","1"
"May 22","59","6","0","0","1"
"May 23","64","2","2","0","0"
"May 24","894","13","73","1","0"
"May 25","101","5","2","0","0"
"May 26","29","1","2","0","0"
"May 27","20","0","0","0","0"
"May 28","31","1","0","0","0"
"May 29","28","5","0","0","0"
"May 30","15","1","1","0","0"
"May 31","19","3","0","0","0"
"June 1","116","3","1","0","0"
"June 2","13","0","0","0","0"
"June 3","16","0","0","0","0"
"June 4","22","0","1","0","0"
"June 5","10","2","1","0","0"
"June 6","8","1","0","0","0"
"June 7","10","1","0","0","0"
"June 8","11","0","0","0","0"
"June 9","6","0","0","0","0"
"June 10","13","1","1","0","0"
"June 11","8","0","0","0","0"
"June 12","9","0","2","0","0"
"June 13","10","1","1","0","0"
"June 14","19","1","1","0","0"
"June 15","13","0","1","0","0"
"June 16","15","1","0","0","0"
"June 17","9","0","0","0","0"
"June 18","11","0","2","0","0"
"June 19","7","0","0","0","0"
"June 20","27","2","1","0","0"
"June 21","8","1","1","0","0"
"June 22","6","0","0","0","0"
"June 23","9","0","0","0","0"
"June 24","6","0","0","0","0"
"June 25","596","1","3","0","22"
"June 26","92","3","1","0","0"
